prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,style,style
GE3611,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3611.jpg,ABC,XYZ
GE3610,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3610.jpg,ABC,XYZ
GE3612,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,YELLOW,ashford geometrics,ashford,#,/images/ashford/GE3612.jpg,ABC,XYZ
GE3643,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3643.jpg,ABC,XYZ
GE3641,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3641.jpg,ABC,XYZ
GE3644,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3644.jpg,ABC,XYZ
GE3640,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3640.jpg,ABC,XYZ
GE3642,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3642.jpg,ABC,XYZ
GE3680,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3680.jpg,ABC,XYZ
GE3683,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3683.jpg,ABC,XYZ
GE3685,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3685.jpg,ABC,XYZ
GE3682,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3682.jpg,ABC,XYZ
GE3684,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3684.jpg,ABC,XYZ
GE3681,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE ,ashford geometrics,ashford,#,/images/ashford/GE3681.jpg,ABC,XYZ
GE3706,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE ,ashford geometrics,ashford,#,/images/ashford/GE3706.jpg,ABC,XYZ
GE3705,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3705.jpg,ABC,XYZ
GE3707,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3707.jpg,ABC,XYZ
GE3708,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BROWN,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3708.jpg,ABC,XYZ
GE3704,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3704.jpg,ABC,XYZ
GE3709,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3709.jpg,ABC,XYZ
GE3617,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,YELLOW,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3617.jpg,ABC,XYZ
GE3618,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3618.jpg,ABC,XYZ
GE3619,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3619.jpg,ABC,XYZ
GE3620,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3620.jpg,ABC,XYZ
GE3616,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3616.jpg,ABC,XYZ
