prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
MS6427,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREEN,Modern Shapes,shapes,#,/images/modern/MS6427.jpg
MS6443,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,LIGHT GREEN,Modern Shapes,shapes,#,/images/modern/MS6443.jpg
NW6516,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE SILVR,NA,Modern Shapes,shapes,#,/images/modern/NW6516.jpg
MS6435,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,PALE SILVER,Modern Shapes,shapes,#,/images/modern/MS6435.jpg
MS6428,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,ALICE BLUE,Modern Shapes,shapes,#,/images/modern/MS6428.jpg
MS6436,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6436.jpg
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADET BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg
MS6444,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE BROWN,SILVER,Modern Shapes,shapes,#,/images/modern/MS6444.jpg
MS6427,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,MAGENTA,Modern Shapes,shapes,#,/images/modern/MS6427.jpg
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADET BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg
NW6515,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE BROWN,NA,Modern Shapes,shapes,#,/images/modern/NW6515.jpg
NW6516,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE SILVER,NA,Modern Shapes,shapes,#,/images/modern/NW6516.jpg
EB2100,MODERN_SHAPES,YORK,CARY LIND DESIGNS,JUNE BUD,NA,Modern Shapes,shapes,#,/images/modern/EB2100.jpg
EB2099,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ALICE BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2099.jpg
EB2098,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE RED VIOLET,NA,Modern Shapes,shapes,#,/images/modern/EB2098.jpg
WT4549,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CANARY,NA,Modern Shapes,shapes,#,/images/modern/WT4549.jpg
WT4548,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNFLOWER BLUE,NA,Modern Shapes,shapes,#,/images/modern/WT4548.jpg
NW6517,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ALOMOND WITH SILVER SHINE,NA,Modern Shapes,shapes,#,/images/modern/NW6517.jpg
