prod_name,Collection,supplier,brand,color,pattern,CONTEMPORARY,link,image,cat_name,category
UN 1004,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1004.jpg,unplugged,Unplugged
UN 1011,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1011.jpg,unplugged,Unplugged
UN 3201,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3201.jpg,unplugged,Unplugged
UN 1202,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1202.jpg,unplugged,Unplugged
UN 4007,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 4007.jpg,unplugged,Unplugged
UN 3204,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3204.jpg,unplugged,Unplugged
UN 1202,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1202.jpg,unplugged,Unplugged
UN 2004,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,PINK,CONTEMPORARY,#,/images/unplugged/UN 2004.jpg,unplugged,Unplugged
UN 1010,UNPLUGGED,GRANDECO,DECO4WALLS,PINK,NA,CONTEMPORARY,#,/images/unplugged/UN 1010.jpg,unplugged,Unplugged
UN 1003,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1003.jpg,unplugged,Unplugged
UN 1102,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,PINK,CONTEMPORARY,#,/images/unplugged/UN 1102.jpg,unplugged,Unplugged
UN 3104,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,PINK,CONTEMPORARY,#,/images/unplugged/UN 3104.jpg,unplugged,Unplugged
UN 4004,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,PINK,CONTEMPORARY,#,/images/unplugged/UN 4004.jpg,unplugged,Unplugged
UN 1011,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1011.jpg,unplugged,Unplugged
UN 1001,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1001.jpg,unplugged,Unplugged
UN 1010,UNPLUGGED,GRANDECO,DECO4WALLS,PINK,NA,CONTEMPORARY,#,/images/unplugged/UN 1010.jpg,unplugged,Unplugged
UN 3004,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,ORANGE,CONTEMPORARY,#,/images/unplugged/UN 3004.jpg,unplugged,Unplugged
UN 1101,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 1101.jpg,unplugged,Unplugged
UN 4006,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,BROWN,CONTEMPORARY,#,/images/unplugged/UN 4006.jpg,unplugged,Unplugged
UN 3106,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3106.jpg,unplugged,Unplugged
UN 3203,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREY,CONTEMPORARY,#,/images/unplugged/UN 3203.jpg,unplugged,Unplugged
UN 1203,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1203.jpg,unplugged,Unplugged
UN 3302,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 3302.jpg,unplugged,Unplugged
UN 1203,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1203.jpg,unplugged,Unplugged
UN 2001,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,BLACK,CONTEMPORARY,#,/images/unplugged/UN 2001.jpg,unplugged,Unplugged
UN 4001,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,ORANGE,CONTEMPORARY,#,/images/unplugged/UN 4001.jpg,unplugged,Unplugged
UN 1004,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1004.jpg,unplugged,Unplugged
UN 1002,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1002.jpg,unplugged,Unplugged
UN 3001,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,ORANGE,CONTEMPORARY,#,/images/unplugged/UN 3001.jpg,unplugged,Unplugged
UN 3005,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREEN,CONTEMPORARY,#,/images/unplugged/UN 3005.jpg,unplugged,Unplugged
UN 1003,UNPLUGGED,GRANDECO,DECO4WALLS,GREY,NA,CONTEMPORARY,#,/images/unplugged/UN 1003.jpg,unplugged,Unplugged
UN 1001,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,NA,CONTEMPORARY,#,/images/unplugged/UN 1001.jpg,unplugged,Unplugged
UN 1008,UNPLUGGED,GRANDECO,DECO4WALLS,GREEN,NA,CONTEMPORARY,#,/images/unplugged/UN 1008.jpg,unplugged,Unplugged
UN 2005,UNPLUGGED,GRANDECO,DECO4WALLS,BEIGE,GREEN,CONTEMPORARY,#,/images/unplugged/UN 2005.jpg,unplugged,Unplugged
UN 3303,UNPLUGGED,GRANDECO,DECO4WALLS,BLACK,GREY,CONTEMPORARY,#,/images/unplugged/UN 3303.jpg,unplugged,Unplugged
