prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
DD8482,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/DD8482.jpg
DD8483,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/DD8483.jpg
ML8628,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/ML8628.jpg
DD8326,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,GREY,designer damask,damasks,#,/images/damask/DD8326.jpg
DD8328,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,GOLDEN,designer damask,damasks,#,/images/damask/DD8328.jpg
DD8324,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,WHITE,designer damask,damasks,#,/images/damask/DD8324.jpg
DD8457,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,WHITE,designer damask,damasks,#,/images/damask/DD8457.jpg
DD8460,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,MUSTARD,WHITE,designer damask,damasks,#,/images/damask/DD8460.jpg
DD8461,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,WHITE,designer damask,damasks,#,/images/damask/DD8461.jpg
EK4252,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/EK4252.jpg
EK4253,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/EK4253.jpg
EK4254,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,SILVER,designer damask,damasks,#,/images/damask/EK4254.jpg
DD8464,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,WHITE,designer damask,damasks,#,/images/damask/DD8464.jpg
DD8459,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,WHITE,designer damask,damasks,#,/images/damask/DD8459.jpg
DD8458,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,LIME GREEN,WHITE,designer damask,damasks,#,/images/damask/DD8458.jpg
DD8397,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,SILVER,designer damask,damasks,#,/images/damask/DD8397.jpg
TA6951,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/TA6951.jpg
DD8400,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,SILVER,designer damask,damasks,#,/images/damask/DD8400.jpg
DD8401,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,DARK GREY,designer damask,damasks,#,/images/damask/DD8401.jpg
TA6948,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,GREY,designer damask,damasks,#,/images/damask/TA6948.jpg
DD8396,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,SILVER,designer damask,damasks,#,/images/damask/DD8396.jpg
TA6952,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/TA6952.jpg
DD8398,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,GOLDEN,designer damask,damasks,#,/images/damask/DD8398.jpg
DD8399,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,GOLDEN,designer damask,damasks,#,/images/damask/DD8399.jpg
DD8305,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREEN,GOLDEN,designer damask,damasks,#,/images/damask/DD8305.jpg
DD8317,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREEN,NA,designer damask,damasks,#,/images/damask/DD8317.jpg
DD8300,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,WHITE,designer damask,damasks,#,/images/damask/DD8300.jpg
DD8312,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/DD8312.jpg
DD8316,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,PURPLE,NA,designer damask,damasks,#,/images/damask/DD8316.jpg
DD8304,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,REPEAT OF PG 94,NA,designer damask,damasks,#,/images/damask/DD8304.jpg
DD8313,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/DD8313.jpg
DD8301,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,WHITE,designer damask,damasks,#,/images/damask/DD8301.jpg
DD8314,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,NA,designer damask,damasks,#,/images/damask/DD8314.jpg
DD8302,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,WHITE,designer damask,damasks,#,/images/damask/DD8302.jpg
DD8303,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/DD8303.jpg
DD8315,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,BEIGE,designer damask,damasks,#,/images/damask/DD8315.jpg
